ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
462F421E7F209A0E,classic_bike,2022-03-18T12:20:20Z,2022-03-18T12:20:57Z,Hudson St & Reade St,5359.1,Duane St & Hudson St,5359.12,40.71625008,-74.0091059,40.71703,-74.00925,member
D370D39B5E0F047C,classic_bike,2022-03-10T09:37:44Z,2022-03-10T09:46:08Z,E 2 St & Avenue B,5515.02,E 23 St & 1 Ave,5929.01,40.72217444,-73.98368779,40.736502,-73.97809472,member
5417D87841D4C330,electric_bike,2022-03-16T08:16:52Z,2022-03-16T08:20:58Z,6 Ave & Canal St,5500.07,Mercer St & Spring St,5532.01,40.72243797,-74.00566443,40.72362738,-73.99949601,member
4CEB6397D0C5EA15,electric_bike,2022-03-26T13:39:23Z,2022-03-26T13:55:12Z,Forsyth St & Broome St,5453.05,Broadway & Berry St,5164.04,40.71893904,-73.99266288,40.71044554,-73.96525063,casual
5FD5B54FE3E95249,classic_bike,2022-03-26T15:18:55Z,2022-03-26T15:26:58Z,14 St & 7 Ave,3731.11,Grand Army Plaza & Plaza St West,4010.15,40.663779,-73.98396846,40.6729679,-73.97087984,member
94CA23D0945116D8,electric_bike,2022-03-05T16:15:37Z,2022-03-05T16:27:25Z,E 84 St & Park Ave,7243.04,1 Ave & E 110 St,7522.02,40.77862688,-73.95772073,40.7923272,-73.9383,member
7FD7F88CDE82A6B7,classic_bike,2022-03-11T13:43:47Z,2022-03-11T13:50:16Z,31 St & Astoria Blvd,6989.07,Steinway St & 28 Ave,6915.02,40.7699176,-73.9184057,40.7656251,-73.9136695,member
E2581539FDA29FAB,electric_bike,2022-03-04T19:52:09Z,2022-03-04T20:06:58Z,W 22 St & 10 Ave,6306.06,Kenmare St & Elizabeth St,5453.06,40.74691959,-74.00451887,40.72054,-73.9949,member
7E345836456C31D5,classic_bike,2022-03-14T07:35:11Z,2022-03-14T07:37:33Z,5 Ave & E 93 St,7372.1,E 92 St & Park Ave,7344.06,40.7857851,-73.957481,40.78385,-73.95416,member
0EED3393CA9171C3,classic_bike,2022-03-05T16:22:58Z,2022-03-05T17:05:56Z,12 Ave & W 125 St,7886.02,11 Ave & W 59 St,7059.01,40.818299,-73.960405,40.77149671054441,-73.99046033620834,member
3DDC8742D2288EAF,electric_bike,2022-03-08T14:34:47Z,2022-03-08T14:41:25Z,E 26 St & 3 Ave,6089.11,E 41 St & Madison Ave (SE corner),6432.1,40.74069317733043,-73.98160636425018,40.752049,-73.979635,member
54F3C25C3FF5CAA4,electric_bike,2022-03-02T16:19:24Z,2022-03-02T16:43:25Z,W 34 St & 11 Ave,6578.01,Central Park S & 6 Ave,6876.04,40.75594159,-74.0021163,40.76590936,-73.97634151,casual
467C85C7F05A4F6B,electric_bike,2022-03-02T08:29:16Z,2022-03-02T08:35:52Z,Columbia St & W 9 St,4086.05,Smith St & 3 St,4151.01,40.6769993,-74.00647134,40.6787242,-73.99599099,member
7C974D733DE229C6,classic_bike,2022-03-12T12:42:12Z,2022-03-12T12:48:10Z,E 5 St & Cooper Sq,5712.12,E 26 St & 3 Ave,6089.11,40.72769,-73.990993,40.74069317733043,-73.98160636425018,member
9076A90346594441,electric_bike,2022-03-07T10:58:47Z,2022-03-07T11:09:29Z,W 41 St & 8 Ave,6602.03,W 18 St & 6 Ave,6064.08,40.75640548,-73.9900262,40.73971301,-73.99456405,member
6DDA2862447E1443,electric_bike,2022-03-06T14:01:26Z,2022-03-06T14:10:24Z,Columbus Ave & W 95 St,7520.07,Frederick Douglass Blvd & W 117 St,7688.12,40.7919557,-73.968087,40.805159,-73.954692,casual
A7CC8F27348D0BC0,electric_bike,2022-03-23T11:44:13Z,2022-03-23T11:58:35Z,Ave D & E 8 St,5506.1,MacDougal St & Prince St,5687.04,40.72368361,-73.97574813,40.72710258,-74.00297088,member
6AF7D48D97F55C88,electric_bike,2022-03-07T17:37:44Z,2022-03-07T17:50:31Z,3 Ave & E 71 St,6960.1,Amsterdam Ave & W 82 St,7360.1,40.76873687,-73.96119945,40.78524672,-73.97667321,member
5396E9FCB529590C,classic_bike,2022-03-27T16:10:08Z,2022-03-27T16:15:41Z,W 43 St & 10 Ave,6756.01,8 Ave & W 38 St,6526.05,40.76009437,-73.99461843,40.75461,-73.99177,member
47D025C31220EC72,electric_bike,2022-03-26T07:26:15Z,2022-03-26T07:33:56Z,E 33 St & 1 Ave,6197.08,E 13 St & Avenue A,5779.09,40.74322681432173,-73.97449783980846,40.72966729392978,-73.98067966103554,member
F20E93AFF017EE5A,classic_bike,2022-03-29T23:18:05Z,2022-03-29T23:33:09Z,9 Ave & W 18 St,6190.08,E 7 St & Avenue A,5626.07,40.74317449,-74.00366443,40.72621788,-73.98379855,member
90200582C63440C2,electric_bike,2022-03-26T09:37:32Z,2022-03-26T10:01:05Z,Broadway & Morris St,5033.01,E 30 St & Park Ave S,6206.08,40.705945132708806,-74.01321887969969,40.74444921,-73.98303529,member
959562F6DD7361B9,electric_bike,2022-03-01T18:54:52Z,2022-03-01T19:00:03Z,Sterling Pl & Bedford Ave,3993.03,Underhill Ave & Lincoln Pl,4042.08,40.672695,-73.954131,40.6740123,-73.9671457,casual
EF8243052E921C1A,electric_bike,2022-03-17T13:49:29Z,2022-03-17T13:58:56Z,W 95 St & Broadway,7541.01,E 95 St & 3 Ave,7365.13,40.7937704,-73.971888,40.7849032,-73.950503,member
0D0BDAF43B997555,electric_bike,2022-03-14T16:06:46Z,2022-03-14T16:22:55Z,Johnson St & Gold St,4668.08,Berry St & N 8 St,5379.09,40.69474881,-73.98362464,40.7190095,-73.95852515,member
9CDC2482694EF450,classic_bike,2022-03-03T08:41:56Z,2022-03-03T09:01:00Z,W 64 St & Thelonious Monk Circle,7123.04,E 41 St & Madison Ave (SW corner),6474.12,40.77515953434235,-73.98918695747852,40.752165280621966,-73.97992193698882,member
